"Date(UTC)","OrderNo","Pair","Type","Side","Order Price","Order Amount","Time","Executed","Average Price","Trading total","Status"
"2025-06-05 08:11:40","1922765648","SEIUSDT","Market","SELL","0","61.1SEI","2025-06-05 08:11:40","61.1SEI","0.1925","11.76175USDT","FILLED"
"2025-06-05 08:11:23","101677752","SEIBNB","Limit","SELL","0.000286","35SEI","2025-06-05 08:11:23","35SEI","0.0002875","0.0100625BNB","FILLED"
"2025-06-05 08:11:23","1922765598","SEIUSDT","Limit","SELL","0.1915","101SEI","2025-06-05 08:11:23","101SEI","0.1925","19.4425USDT","FILLED"
"2025-01-14 11:49:55","1578069734","SEIUSDT","Market","BUY","0","13.4SEI","2025-01-14 11:49:55","13.4SEI","0.373","4.9982USDT","FILLED"
"2025-01-14 11:49:42","1578069460","SEIUSDT","Market","BUY","0","183.9SEI","2025-01-14 11:49:42","183.9SEI","0.373","68.5947USDT","FILLED"
"2025-01-09 12:45:26","1560414012","SEIUSDT","Market","SELL","0","117.8SEI","2025-01-09 12:45:26","117.8SEI","0.3825","45.0585USDT","FILLED"
"2025-01-09 12:45:11","1560412696","SEIUSDT","Limit","SELL","0.3803","245.7SEI","2025-01-09 12:45:11","245.7SEI","0.3823","93.93111USDT","FILLED"
"2024-12-14 06:20:20","1459049097","SEIUSDT","Market","BUY","0","363.5SEI","2024-12-14 06:20:20","363.5SEI","0.6051","219.95385USDT","FILLED"
"2024-12-14 06:20:11","1459048663","SEIUSDT","Limit","BUY","0.6047","363.8SEI","2024-12-14 06:20:14","0SEI","0","0USDT","CANCELED"
"2024-12-13 08:59:12","1455068166","SEIUSDT","Market","SELL","0","227.5SEI","2024-12-13 08:59:12","227.5SEI","0.5972","135.863USDT","FILLED"
"2024-12-13 08:58:40","1455067173","SEIUSDT","Limit","SELL","0.5937","207SEI","2024-12-13 08:58:40","207SEI","0.5967","123.5169USDT","FILLED"
"2024-12-02 10:39:38","1380137919","SEIUSDT","Market","BUY","0","33.3SEI","2024-12-02 10:39:38","33.3SEI","0.6006","19.99998USDT","FILLED"
"2024-12-02 10:39:18","1380136017","SEIUSDT","Market","BUY","0","401.2SEI","2024-12-02 10:39:18","401.2SEI","0.6017","241.40204USDT","FILLED"
"2024-12-02 10:38:31","1380130792","SEIUSDT","Market","SELL","0","421.2SEI","2024-12-02 10:38:31","421.2SEI","0.6016","253.39392USDT","FILLED"
"2024-12-01 08:26:35","1374442149","SEIUSDT","Market","BUY","0","421.2SEI","2024-12-01 08:26:35","421.2SEI","0.6484","273.10608USDT","FILLED"
"2024-12-01 08:23:23","33201259350","BTCUSDT","Market","SELL","0","0.00299BTC","2024-12-01 08:23:23","0.00299BTC","96787.74","289.3953426USDT","FILLED"
"2024-12-01 08:22:52","33201256374","BTCUSDT","Market","BUY","0","0.00299BTC","2024-12-01 08:22:52","0.00299BTC","96787.75","289.3953725USDT","FILLED"
"2024-12-01 08:22:00","1374427471","SEIUSDT","Market","SELL","0","447.1SEI","2024-12-01 08:22:00","447.1SEI","0.649","290.1679USDT","FILLED"
"2024-11-30 05:53:24","1368742014","SEIUSDT","Limit","SELL","1","447.1SEI","2024-12-01 08:20:55","0SEI","0","0USDT","CANCELED"
"2024-11-30 05:53:01","1368740070","SEIUSDT","Market","BUY","0","29.5SEI","2024-11-30 05:53:01","29.5SEI","0.6778","19.9951USDT","FILLED"
"2024-11-30 05:52:54","1368739529","SEIUSDT","Market","BUY","0","44.2SEI","2024-11-30 05:52:54","44.2SEI","0.6779","29.96318USDT","FILLED"
"2024-11-30 05:52:37","1368738225","SEIUSDT","Market","BUY","0","73.8SEI","2024-11-30 05:52:37","73.8SEI","0.6775","49.9995USDT","FILLED"
