"Date(UTC)","OrderNo","Pair","Type","Side","Order Price","Order Amount","Time","Executed","Average Price","Trading total","Status"
"2024-08-14 13:33:10","7276614037","SOLUSDT","Market","BUY","0","0.039SOL","2024-08-14 13:33:10","0.039SOL","150.61","5.87379USDT","FILLED"
"2024-08-14 13:27:25","7276513322","SOLUSDT","Market","BUY","0","0.037SOL","2024-08-14 13:27:25","0.037SOL","149.56","5.53372USDT","FILLED"
"2024-08-13 03:12:03","7258550427","SOLUSDT","Market","BUY","0","0.097SOL","2024-08-13 03:12:03","0.097SOL","144.16","13.98352USDT","FILLED"
"2024-08-01 09:27:12","5613929255","DOGEUSDT","Market","BUY","0","49DOGE","2024-08-01 09:27:12","49DOGE","0.12102","5.92998USDT","FILLED"
"2024-08-01 09:27:01","916393873","SEIUSDT","Market","SELL","0","19SEI","2024-08-01 09:27:01","19SEI","0.316","6.004USDT","FILLED"
"2024-07-23 15:28:23","5553028221","DOGEUSDT","Market","BUY","0","37DOGE","2024-07-23 15:28:23","37DOGE","0.13269","4.90953USDT","FILLED"
"2024-07-20 06:25:44","5523214284","DOGEUSDT","Market","BUY","0","117DOGE","2024-07-20 06:25:44","117DOGE","0.12745","14.91165USDT","FILLED"
"2024-07-10 16:31:00","426088185","VTHOUSDT","Market","SELL","0","18266VTHO","2024-07-10 16:31:00","18266VTHO","0.00235","42.9251USDT","FILLED"
"2024-07-10 16:30:52","426088157","VTHOUSDT","Market","BUY","0","18283VTHO","2024-07-10 16:30:52","18283VTHO","0.00235288","43.017776USDT","FILLED"
"2024-07-10 16:29:32","6646508798","SOLUSDT","Market","SELL","0","0.304SOL","2024-07-10 16:29:32","0.304SOL","141.66","43.06464USDT","FILLED"
"2024-07-10 05:12:52","5468812380","DOGEUSDT","Market","BUY","0","67DOGE","2024-07-10 05:12:52","67DOGE","0.11","7.37USDT","FILLED"
"2024-07-10 05:12:43","6641194686","SOLUSDT","Market","SELL","0","0.051SOL","2024-07-10 05:12:43","0.051SOL","145.5","7.4205USDT","FILLED"
"2024-07-02 07:32:28","6531330991","SOLUSDT","Market","SELL","0","0.183SOL","2024-07-02 07:32:28","0.183SOL","147.47","26.98701USDT","FILLED"
"2024-07-01 07:40:38","5409736447","DOGEUSDT","Market","BUY","0","100DOGE","2024-07-01 07:40:38","100DOGE","0.12672","12.672USDT","FILLED"
"2024-07-01 07:40:21","6523711484","SOLUSDT","Market","SELL","0","0.087SOL","2024-07-01 07:40:21","0.087SOL","148.26","12.89862USDT","FILLED"
"2024-06-17 11:15:44","5343613014","DOGEUSDT","Market","BUY","0","38DOGE","2024-06-17 11:15:44","38DOGE","0.13388","5.08744USDT","FILLED"
"2024-06-11 13:37:19","6337550670","SOLUSDT","Limit","BUY","153.15","2.243SOL","2024-06-11 13:37:19","2.243SOL","152.86","342.86498USDT","FILLED"
